Sepal Width (cm),Sepal Length (cm),Target
3.5,5.1,0
3.0,4.9,0
3.2,4.7,0
3.1,4.6,0
3.6,5.0,0
3.9,5.4,0
3.4,4.6,0
3.4,5.0,0
2.9,4.4,0
3.1,4.9,0
3.7,5.4,0
3.4,4.8,0
3.0,4.8,0
3.0,4.3,0
4.0,5.8,0
4.4,5.7,0
3.9,5.4,0
3.5,5.1,0
3.8,5.7,0
3.8,5.1,0
3.4,5.4,0
3.7,5.1,0
3.6,4.6,0
3.3,5.1,0
3.4,4.8,0
3.0,5.0,0
3.4,5.0,0
3.5,5.2,0
3.4,5.2,0
3.2,4.7,0
3.1,4.8,0
3.4,5.4,0
4.1,5.2,0
4.2,5.5,0
3.1,4.9,0
3.2,5.0,0
3.5,5.5,0
3.6,4.9,0
3.0,4.4,0
3.4,5.1,0
3.5,5.0,0
2.3,4.5,0
3.2,4.4,0
3.5,5.0,0
3.8,5.1,0
3.0,4.8,0
3.8,5.1,0
3.2,4.6,0
3.7,5.3,0
3.3,5.0,0
3.2,7.0,1
3.2,6.4,1
3.1,6.9,1
2.3,5.5,1
2.8,6.5,1
2.8,5.7,1
3.3,6.3,1
2.4,4.9,1
2.9,6.6,1
2.7,5.2,1
2.0,5.0,1
3.0,5.9,1
2.2,6.0,1
2.9,6.1,1
2.9,5.6,1
3.1,6.7,1
3.0,5.6,1
2.7,5.8,1
2.2,6.2,1
2.5,5.6,1
3.2,5.9,1
2.8,6.1,1
2.5,6.3,1
2.8,6.1,1
2.9,6.4,1
3.0,6.6,1
2.8,6.8,1
3.0,6.7,1
2.9,6.0,1
2.6,5.7,1
2.4,5.5,1
2.4,5.5,1
2.7,5.8,1
2.7,6.0,1
3.0,5.4,1
3.4,6.0,1
3.1,6.7,1
2.3,6.3,1
3.0,5.6,1
2.5,5.5,1
2.6,5.5,1
3.0,6.1,1
2.6,5.8,1
2.3,5.0,1
2.7,5.6,1
3.0,5.7,1
2.9,5.7,1
2.9,6.2,1
2.5,5.1,1
2.8,5.7,1
